Angulo_Medido_grados,Intensidad_Relativa,Angulo_Corregido_grados,Indice_Refraccion,Longitud_Onda_nm
12.92,4.29,78.832,1.848282610951857,
13.129,4.33,78.62299999999999,1.8475552754680977,
13.304,4.31,78.448,1.84693609048429,
13.465,4.35,78.28699999999999,1.8463582595876364,
13.644,4.32,78.10799999999999,1.8457066312606858,
13.81,4.38,77.942,1.8450936829500613,
13.98,4.35,77.77199999999999,1.8444573505973096,
14.198,4.37,77.554,1.8436286050162338,
14.399,4.35,77.353,1.842851812541461,
14.626,4.39,77.12599999999999,1.8419599368763535,
14.857,4.39,76.895,1.8410364643541561,
15.08,4.38,76.672,1.8401297970683483,
15.293,4.4,76.459,1.839249885133504,
15.468,4.4,76.28399999999999,1.8385168009520672,
15.625,4.42,76.127,1.8378513354714558,
15.787,4.41,75.96499999999999,1.8371569672890564,
15.974,4.43,75.77799999999999,1.8363457179371065,
